id,slug,name,area,db_address,kakao_map_url,previous_classification,work_type,final_classification,business_status,kakao_phone,naver_web_phone,recommended_phone,address_issue,kakao_issue,branch_issue,manual_action_required,recommendation,sources
02921b80-dd6a-4f41-9538-7ca1e8a68884,jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,부산 수영구 황령대로489번길 49-8 1층,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-621-2540,,,,,,네이버 2차 출처 확인,Kakao 단독-네이버 확인 필요,"Kakao Local API"
saengdal-gwangalli-boulangerie-lassence,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,광안리,부산 수영구 남천바다로9번길 8,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-710-1417,,,,,,네이버·공식SNS 2차 확인,Kakao 단독-네이버 확인 필요,"Kakao Local API"
f8560a38-de47-4618-b687-6ccfbb4bded0,sungsik-gwangalli-geumson-1983,금손1983,광안리,부산 수영구 수영로680번길 54 1층,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-711-1983,051-921-1983,,,,,번호 충돌 해소(네이버),711 vs 921 충돌,"Kakao+식신+114On"
a6e2fab3-4fbb-44ba-a85d-26a16e04466a,sungsik-gwangalli-haejin-anago,해진아나고,광안리,부산 수영구 광서로10번길 47,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,010-8599-1090(개인폰),051-757-9262,,,,,개인폰 vs 지역번호 확인(지역번호 우선),개인폰 추천 금지-지역번호 검증,"Kakao+식신+다이닝+polle"
c520dec7-4493-45c4-a332-a4efa410d528,tzuyang-gwangalli-darijip,다리집,광안리,부산 수영구 남천바다로10번길 70 101호,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,,010-8898-6681(개인폰),,,,,지역 대표번호 확인,개인폰만-대표번호 필요,"Kakao+다이닝+식신+트립"
d8dc7a0b-da48-411d-ad76-e9821b358563,tzuyang-haeundae-sanggukine,상국이네,해운대,부산 해운대구 구남로41번길 40-1 (해운대전통시장),place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-742-9001,070-7776-7715,,,,센텀점 별개,지역 vs 070 확인,051 vs 070 충돌,"Kakao+다이닝+트립"
432ac814-40a5-4516-ab73-e717144b3ad2,ansungjae-yeonje-mapobonga,마포본가,연제,부산 연제구 월드컵대로111번길 10,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-867-9252,0507-1478-9253(안심),,,,수원·서울 마포본가 별개,안심번호 끝자리 불일치 확인,051 vs 0507 끝자리 불일치,"Kakao+테이블링+공식인스타"
6fa20bbf-ca29-4065-8eca-39d19b904d27,pungja-namgu-hapcheon-gukbap,합천국밥집,남구,부산 남구 용호로 235,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-622-4898,051-628-4898,,Kakao 용호로 237 vs DB/웹 235,,,번호 충돌 해소(네이버),622 vs 628 충돌,"Kakao+식신+다이닝+트립"
b2db448e-57c1-455a-ad64-e5949c05df74,saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,사상,부산 사상구 가야대로 290-18,place연결,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,0502-5553-2589(안심),051-312-4628,,,,2호점,안심 vs 지역 끝자리 불일치 확인,0502 vs 051-312-4628 불일치,"Kakao+다이닝+식신"
574a0e06-0835-4496-a809-9a80388070b3,wonjo-gaya-milmyeon,원조가야밀면,기타,부산 사하구 낙동대로451번길 33,place연결,NO_MATCH,NO_MATCH,NO_MATCH,영업중(추정),,,,,,사하구 하단점-동명 다지점 다수,해당 지점 직접 확인,타지점 번호 혼입 금지,"Kakao+다이닝+식신"
