29,"score=4; flags=kakao검색링크,가격변동메뉴",4bb57c0f-1571-4c30-9e28-e5e89d062d93,hoeguksu-halmaejip,회국수할매집,서면,부산 부산진구 서면문화로 5,회국수,"회국수 10,000원대",https://map.kakao.com/?map_type=TYPE_MAP&itemId=11260858&q=%ED%9A%8C%EA%B5%AD%EC%88%98%ED%95%A0%EB%A7%A4%EC%A7%91&urlLevel=3&urlX=968710&urlY=466468,"kakao검색링크,가격변동메뉴",false
30,"score=4; flags=price모호,가격변동메뉴",87092201-5e92-4086-aaae-dbc21f814a29,tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,기타,부산 강서구 르노삼성대로 602 2층,"갈삼구이(갈미조개+삼겹살), 갈미조개 샤브샤브","중 50,000원 / 대 60,000원",http://place.map.kakao.com/21843973,"price모호,가격변동메뉴",false
31,"score=3; flags=kakao검색링크,최근방송",1479cdb2-dc14-4dac-b3e8-519a3affb43c,live-today-donggu-halme-gimbap,할매김밥,기타,부산 동구 고관로 106 상가아파트 상가안,"김밥, 햄김밥, 유부초밥, 초밥","김밥 2줄 4,000원, 햄김밥 3,500원, 유부초밥 4,500원, 초밥 5,000원",https://map.kakao.com/link/search/할매김밥%20부산%20동구%20고관로%20106,"kakao검색링크,최근방송",false
32,"score=3; flags=kakao검색링크,최근방송",0973e171-eaa3-4aed-a281-e0616f44dbb4,live-today-suyeong-geumsin-jeonseon-sangyusibi,금신전선 상유십이,기타,부산 수영구 수영로582번길 28,"노량첨자진 섬멸, 노량첨자진 분멸, 노량도진도, 한산 학익진, 명량 일자진","메밀면류 12,000원, 계절 메뉴 12,000원",https://map.kakao.com/link/search/금신전선%20상유십이,"kakao검색링크,최근방송",false
33,"score=3; flags=price모호,최근방송",574a0e06-0835-4496-a809-9a80388070b3,wonjo-gaya-milmyeon,원조가야밀면,기타,부산 사하구 낙동대로451번길 33,"물밀면, 비빔밀면, 찐만두","물밀면, 비빔밀면, 찐만두",https://place.map.kakao.com/505835564,"price모호,최근방송",false
34,"score=3; flags=kakao검색링크,최근방송",7429291f-c29d-479c-8907-b6d709ba9284,2tv-gumjeong-geumjukheon,금죽헌 금정산성점,기타,부산 금정구 산성로 531 1층,"금죽헌 소불고기 전골, 솥밥, 감자사리, 당면사리","금죽헌 소불고기 전골 18,900원, 고기 추가 18,000원, 솥밥 3,000원, 감자사리 2,000원, 당면사리 2,000원",https://map.kakao.com/link/search/금죽헌%20금정산성점,"kakao검색링크,최근방송",false
35,"score=3; flags=price모호,최근방송",34486e2a-fee3-4ed3-a6e3-c24bd84e4f3c,saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,북구,부산 북구 양달로4번길 17 금샘빌딩 1층,히츠마부시,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/1645649718,"price모호,최근방송",false
36,"score=3; flags=price모호,최근방송",6d2db73a-f31b-4a82-85aa-c4c55e6a76db,saengdal-gijang-jeil-bunsik,제일분식,기장,부산 기장군 장안읍 좌천로 38,군만두,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/10088181,"price모호,최근방송",false
37,"score=3; flags=price모호,최근방송",9d8c1860-f09b-43fb-9028-0e5ba72c513d,baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,영도,부산 영도구 남항시장길 350,돼지국밥,돼지국밥 (가격 확인 필요),https://place.map.kakao.com/15526776,"price모호,최근방송",false
38,"score=3; flags=가격변동메뉴,최근방송",98f115ea-7870-43fc-a152-ef0a8e910ff8,baekban-yeonje-godeungeo-datchi,고등어다찌 연산본점,연제,부산 연제구 고분로31번길 42,모둠회,"활고등어회(소) 45,000원 · 모둠사시미(소) 55,000원",https://place.map.kakao.com/12743016,"가격변동메뉴,최근방송",false
39,"score=3; flags=가격변동메뉴,최근방송",403d0165-46c6-489a-aca7-0ddb863f8419,jeonhyun-gijang-haenyeo-halmaejib,5번 친구해녀할매집,기장,부산 기장군 기장읍 기장해안로 668,해산물모듬·장어구이,"장어구이(대) 65,000원 / 해산물모듬(대) 60,000원 / 전복죽 13,000원",https://place.map.kakao.com/704870096,"가격변동메뉴,최근방송",false
40,"score=3; flags=가격변동메뉴,최근방송",b7a9baa2-c394-4f3f-a47b-b93f02fb638c,mulkkong-sikdang,물꽁식당,남포동,부산 중구 흑교로59번길 3,아구찜,"아구찜 중 30,000원",https://place.map.kakao.com/11891969,"가격변동메뉴,최근방송",false
41,"score=3; flags=price모호,최근방송",5dc190c3-aa4c-4a5e-ae50-f829653a6fa4,saengdal-haeundae-amisan,아미산,해운대,부산 해운대구 해운대해변로 154 마리나센터 8층,해물 누룽지탕,코스 / 매장 문의,https://place.map.kakao.com/7991031,"price모호,최근방송",false
42,"score=3; flags=가격변동메뉴,최근방송",e7ce6a07-53e0-42e2-8cb1-62b9fca74cc8,baekhwa-yanggopchang-1ho,백화양곱창 1호,남포동,부산 중구 자갈치로23번길 6,양곱창,"양곱창 45,000원 / 양(모둠) 39,000원 / 볶음밥 12,000원",https://place.map.kakao.com/2061622071,"가격변동메뉴,최근방송",false
43,"score=3; flags=price모호,최근방송",62026b24-c99e-4dba-a023-2540c3226258,sungsik-nampodong-jungang-gomtang,중앙곰탕,남포동,부산 중구 충장대로9번길 9 동영빌딩지하,양수백,"12,000~18,000원",https://place.map.kakao.com/16035745,"price모호,최근방송",false
44,"score=3; flags=price모호,최근방송",6cf98194-e08c-4af5-9495-6bbe7957a70c,tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,해운대,부산 해운대구 우동1로20번가길 4 1층,떡볶이,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/20522414,"price모호,최근방송",false
45,"score=3; flags=price모호,최근방송",99e9aaf9-23df-4a5b-8ad2-a209bbab23d0,saengdal-ssangdungyi-doejigukbap,쌍둥이돼지국밥 본점,남구,부산 남구 유엔평화로 35-1,돼지국밥,"1인 9,000원",https://place.map.kakao.com/349525135,"price모호,최근방송",false
46,"score=3; flags=가격변동메뉴,도로명불명확",563dcfc8-0abe-4a3b-a32e-5385f1f8d870,jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,광안리,부산 수영구 남천1동 192,세로썰기 숙성회·점심특선 회세트,"코스 35,000원~ / 회세트(2인) 55,000원",https://place.map.kakao.com/18833899,"가격변동메뉴,도로명불명확",false
47,"score=3; flags=가격변동메뉴,도로명불명확",e76f9e91-8352-4e49-9d8c-382e9f5d9605,matnyuk-sasang-doejigalbi,시골집명품석갈비,사상,부산 사상구 괘법동 549,돼지갈비,"1인분 13,000원",https://place.map.kakao.com/1045757902,"가격변동메뉴,도로명불명확",false
48,"score=2; flags=유명(trust),최근방송",e85c0180-ef04-4fad-9c8a-ffd5833de29b,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,광안리,부산 수영구 남천바다로10번길 29 1층,평양냉면,"평양냉면 13,000원 / 이북만두 10,000원",https://place.map.kakao.com/1174747976,"유명(trust),최근방송",false
49,"score=2; flags=유명(trust),최근방송",2ef870fb-1de0-4a40-ad5f-0d7d5b107d02,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,남포동,부산 중구 광복중앙로 31,치즈크러스트피자·명품김치볶음밥,"피자 25,000~29,000원 / 김치볶음밥 11,000원",https://place.map.kakao.com/10070964,"유명(trust),최근방송",false
50,score=2; flags=가격변동메뉴,02921b80-dd6a-4f41-9538-7ca1e8a68884,jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,부산 수영구 황령대로489번길 49-8 1층,이모카세 코스,"이모카세 35,000원(스페셜 50,000원)",https://place.map.kakao.com/1848137369,가격변동메뉴,false
51,score=2; flags=price모호,6197c7b5-dbc0-41c5-b29f-0adb7fb8ed6c,jeonhyun-nampo-yeosongje,여송제,남포동,부산 중구 광복로18번길 5,냉채족발·특별한족발,"(소) 35,000원 / (대) 50,000원",https://place.map.kakao.com/10656018,price모호,false
52,score=2; flags=가격변동메뉴,9fa8c2f5-452d-4bc0-9c8e-6f2079c7dd65,saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,해운대,"부산 해운대구 센텀중앙로 145, 1층",비건 글루텐프리 쌀빵,"백미쌀빵 5,900원 / 고구마쌀빵 6,900원 / 블루베리쌀빵 6,900원",https://place.map.kakao.com/930661152,가격변동메뉴,false
53,score=2; flags=가격변동메뉴,ea3ca318-62a3-46a9-ab0b-c49031affcfa,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,광안리,부산 수영구 남천바다로9번길 8,"메밀쿠론, 크루아상, 바게트","메밀쿠론 1개 12,800원 (반개 7,000원)",http://place.map.kakao.com/748130607,가격변동메뉴,false
54,score=2; flags=가격변동메뉴,ebaaf480-2957-41a9-a7d8-51dd90f14575,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,남포동,부산 중구 중앙대로41번길 11-1,안금무(안거미·토시살) 즉석구이,"안금무 32,000원",https://place.map.kakao.com/8301894,가격변동메뉴,false
55,score=2; flags=가격변동메뉴,c20c35e8-ab16-4988-8cdb-3d43c5aa81d6,jeonhyun-yeongdo-watda-sikdang,왔다식당,영도,부산 영도구 하나길 811,스지수육·스지된장전골,"전골 1인 14,000원 / 스지수육(소) 45,000원",https://place.map.kakao.com/9291686,가격변동메뉴,false
56,score=2; flags=price모호,7ce80665-1c3b-480e-a786-14e3ee60fa2d,sungsik-gaegeum-milmyeon,개금 밀면 본점,서면,부산 부산진구 가야대로 784,물밀면,"1인 8,000원",https://place.map.kakao.com/1300578239,price모호,false
57,score=2; flags=price모호,f8e07f9d-1227-466f-981d-eed4b8713c96,tzuyang-nampo-ssiat-hotteok,남포동 씨앗호떡,남포동,부산 중구 광복로 56,씨앗호떡,"1개 1,500원",https://place.map.kakao.com/26889472,price모호,false
58,score=2; flags=price모호,2cb55410-d8ca-4bc1-a2b7-d2aacfaa4fe1,baekban-dongnae-pajeon,동래할매파전,동래,부산 동래구 명륜로94번길 43-10,동래파전,"1판 18,000원",https://place.map.kakao.com/10305625,price모호,false
59,score=2; flags=kakao검색링크,0b3a8b91-d42b-4dbc-b980-230ee493feb1,ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,사상,부산 사상구 광장로 34,돼지국밥,"고기국밥 9,500원 / 돼지우동 10,000원 / 수육백반 13,000원",https://kko.to/Eua2eCZtIf,kakao검색링크,false
60,score=2; flags=price모호,6fa20bbf-ca29-4065-8eca-39d19b904d27,pungja-namgu-hapcheon-gukbap,합천국밥집,남구,부산 남구 용호로 235,돼지국밥,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/1420643780,price모호,false
61,score=2; flags=price모호,806a5428-1d73-421e-b878-cee596c76e36,pungja-nampo-milyangjib,밀양집,남포동,부산 중구 중구로47번길 35,돼지국밥,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/10377715,price모호,false
62,score=2; flags=가격변동메뉴,163516e4-449b-469c-ac55-bf80180f57a9,kimyusun-daegu-bbol-jjim,김유순대구뽈찜전문점,남구,부산 남구 진남로 15,대구뽈찜,"대구뽈찜 소 31,000원 / 중 43,000원 / 대 50,000원",https://place.map.kakao.com/8116757,가격변동메뉴,false
63,score=2; flags=가격변동메뉴,ce5f4ac1-520e-4ffe-b50f-12372d4d9554,tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,해운대,부산 해운대구 마린시티3로 23 벽산E오렌지프라자 A동 107호,필살껍데기·소금오겹살·진짜뒷고기,"껍데기 9,500원 / 오겹살 12,000원",https://place.map.kakao.com/27485287,가격변동메뉴,false
64,score=2; flags=price모호,df042825-7247-47be-860e-9fb2af554903,baekban-yeongdo-jinju-sikdang,진주식당,영도,부산 영도구 대평로 16,고등어해장국,고등어해장국 단일 메뉴 (가격 확인 필요),https://place.map.kakao.com/21319289,price모호,false
65,score=2; flags=가격변동메뉴,c97e4fe7-625f-4e6e-a20d-75f51b2521b2,baekban-nampo-subok-centa,수복센타,남포동,부산 중구 남포길 25-3,스지어묵탕·광어 다타키,"스지어묵탕 38,000원 / 다타키 29,000원",https://place.map.kakao.com/11128820,가격변동메뉴,false
66,score=2; flags=price모호,aed96196-233c-456b-89a9-cb15482dd9cc,samdae-haeundae-wonjo-halmae-gukbap,해운대원조할매국밥,해운대,부산 해운대구 구남로21번길 27,소고기국밥,"소고기국밥 4,000원 (방영 당시 기준, 현재 가격 확인 필요)",https://place.map.kakao.com/367285394,price모호,false
67,score=2; flags=price모호,ab83b139-74f4-40e4-a5f4-53eea8688981,samdae-seomyeon-gijang-son-kalguksu,기장손칼국수,서면,부산 부산진구 서면로 56,손칼국수,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/11495457,price모호,false
68,score=2; flags=price모호,e8a9ce4a-be01-4808-bf3c-985958ed8a01,samdaecheonwang-shinbalwon,신발원,기타,부산광역시 동구 대영로243번길 62,고기만두,"4,500원~6,500원",https://place.map.kakao.com/8407645,price모호,false
69,score=2; flags=price모호,9316bfb2-9c49-494d-a501-96893a9ad13e,matnyuk-seomyeon-songjeong-3dae-gukbap,송정3대국밥,서면,부산 부산진구 서면로68번길 33,돼지국밥,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/10551889,price모호,false
70,score=2; flags=price모호,889f4bc5-cb01-40d3-aa7b-45f319a675bf,samdae-seomyeon-wonjo-halmae-nakji,원조할매낙지,서면,부산 부산진구 골드테마길 10,낙곱새,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/8035148,price모호,false
71,score=2; flags=가격변동메뉴,285d3c9e-7319-4378-92e5-c45ecc2a482e,bapsang-gijang-haebyeon-jipbul-gomjangeo,해변짚불곰장어,기장,부산 기장군 기장읍 공수2길 11,짚불곰장어,"짚불곰장어 60,000원",https://place.map.kakao.com/10020270,가격변동메뉴,false
72,score=2; flags=가격변동메뉴,4f4203b7-ae0e-481b-b93a-c9ba0317c803,ddoganjip-pungnyeon-gopchang,풍년곱창,남구,부산 남구 용소로28번길 22-1,곱창구이,"곱창구이 11,000원 / 곱창전골 30,000원",https://place.map.kakao.com/15291956,가격변동메뉴,false
73,score=2; flags=가격변동메뉴,a6e2fab3-4fbb-44ba-a85d-26a16e04466a,sungsik-gwangalli-haejin-anago,해진아나고,광안리,부산 수영구 광서로10번길 47,"왕발이(붕장어 사시미+구이), 아나고 사시미","아나고사시미 대 90,000원 / 왕발이 시가",http://place.map.kakao.com/22205150,가격변동메뉴,false
74,score=1; flags=최근방송,db028631-6eae-4cf9-b497-80c897d612da,saengdal-gwangalli-jin-doejigomtang,진돼지곰탕,광안리,"부산 수영구 광안해변로284번길 4, 2층 201호",돼지곰탕,"돼지곰탕 13,000원 / 특 돼지곰탕 16,000원 / 버크셔K 맑은 온면 12,000원 / 흑돼지만두 3개 3,000원",https://place.map.kakao.com/1398392170,최근방송,false
75,score=1; flags=최근방송,78384686-3a01-49c0-b103-15a33b169149,baekban-seomyeon-masan-sikdang,마산식당,서면,부산 부산진구 자유평화로 19,돼지따로국밥,"돼지따로국밥 10,000원 / 수육백반 12,000원",https://place.map.kakao.com/8960022,최근방송,false
76,score=1; flags=최근방송,140d3045-01ea-4994-9338-514c3e19376c,saengdal-namgu-daeyeon-milmyeon,대연밀면,남구,부산 남구 천제등로 55 1층,물밀면,"물밀면 7,000원 / 비빔밀면 7,000원 / 고기만두 7,000원",https://place.map.kakao.com/16697877,최근방송,false
77,score=1; flags=최근방송,d83abb1b-2f00-4593-a66f-8dc2e782afb9,saengdal-yeonje-gukje-milmyeon,국제밀면 본점,연제,부산 연제구 중앙대로1235번길 23-6,물밀면,"물밀면 소 9,000원 / 물밀면 대 10,000원 / 비빔밀면 소 9,000원",https://place.map.kakao.com/25041331,최근방송,false
78,score=0; flags=-,cac8680a-5844-429f-8915-9080fda28df3,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,남구,부산 남구 문현금융로 4,손칼국수,"손칼국수 5,000원 / 비빔칼국수 6,000원",http://place.map.kakao.com/26436780,-,false
79,score=0; flags=-,ad2a5732-f633-4793-9f05-459ba9795f87,baekban-seogu-yetnal-guksujip,옛날국수집,기타,부산 서구 까치고개로160번길 54,국수·비빔국수·사골설렁탕,"국수 5,000원 / 사골설렁탕 11,000원",https://place.map.kakao.com/964978610,-,false
80,score=0; flags=-,07193125-d1c3-4f98-8ddc-e7c6e7ff0004,baekban-seomyeon-marathon-jib,마라톤집,서면,부산 부산진구 가야대로784번길 54,해물부침,"해물부침 18,000원",https://place.map.kakao.com/8962822,-,false
81,score=0; flags=-,4924d90c-a5c1-4d0a-8712-d63094586897,baekban-nampo-18-wandang,18번완당집,남포동,부산 중구 비프광장로 31,완당,"완당 10,000원",https://place.map.kakao.com/26940615,-,false
82,score=0; flags=-,5ad03bde-3af4-43ab-bcf9-e307d32521ae,subyeon-choego-doejigukbap-minrak,수변최고돼지국밥 민락본점,광안리,부산 수영구 광안해변로370번길 9-32,돼지국밥,"돼지국밥 10,000원대",https://place.map.kakao.com/14635779,-,false
