priority_rank,priority_reason,id,slug,name,area,address,kakao_map_url,program,creator,has_thumbnail,has_trust_source,selected_for_top15
22,"score=4(kakao+3,major지역+1); broadcast=없음",c520dec7-4493-45c4-a332-a4efa410d528,tzuyang-gwangalli-darijip,다리집,광안리,부산 수영구 남천바다로10번길 70 101호,http://place.map.kakao.com/8849564,,,true,false,false
23,"score=4(kakao+3,major지역+1); broadcast=없음",d8dc7a0b-da48-411d-ad76-e9821b358563,tzuyang-haeundae-sanggukine,상국이네,해운대,부산 해운대구 구남로41번길 40-1 (해운대전통시장),http://place.map.kakao.com/9089301,,,true,false,false
24,"score=4(kakao+3,major지역+1); broadcast=없음",4e22727f-a842-4126-9307-55110f5a7355,tzuyang-seomyeon-dongchuni-mandu,동춘이만두,서면,부산 부산진구 당감로25번길 11,http://place.map.kakao.com/27361254,,,true,false,false
25,score=3(kakao+3); broadcast=2026-05-25,574a0e06-0835-4496-a809-9a80388070b3,wonjo-gaya-milmyeon,원조가야밀면,기타,부산 사하구 낙동대로451번길 33,https://place.map.kakao.com/505835564,생활의 달인,,true,false,false
26,score=3(kakao+3); broadcast=2026-02-22,9d8c1860-f09b-43fb-9028-0e5ba72c513d,baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,영도,부산 영도구 절영로49번길 25,https://place.map.kakao.com/15526776,식객 허영만의 백반기행,,true,false,false
27,score=3(kakao+3); broadcast=2025-12-11,432ac814-40a5-4516-ab73-e717144b3ad2,ansungjae-yeonje-mapobonga,마포본가,연제,부산 연제구 월드컵대로111번길 10,https://place.map.kakao.com/17981818,안성재 셰프 유튜브,,true,false,false
28,"score=3(trust+2,major지역+1); broadcast=2025-07-28",f6255fb2-9255-4d60-9707-f5d050345b10,saengdal-seomyeon-dammiok,담미옥,서면,부산 부산진구 복지로 15 개금포르투나 103호,,생활의 달인,,true,true,false
29,score=3(kakao+3); broadcast=2024-12-13,cac8680a-5844-429f-8915-9080fda28df3,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,남구,부산 남구 문현금융로 4,http://place.map.kakao.com/26436780,전현무계획2,,true,false,false
30,score=3(kakao+3); broadcast=2024-12-09,534984b5-7b03-4945-9f1e-0d88fd57b7a3,saengdal-geumjeong-songs-bakery,송스 베이커리,기타,부산 금정구 수림로 26,https://place.map.kakao.com/1678402588,생활의달인,,true,false,false
31,score=3(kakao+3); broadcast=2024-12-09,eadafd41-2633-4ead-aeeb-dd54c0d2e9de,saengdal-saha-cheramie,쉐라미과자점,기타,부산 사하구 낙동대로 238,https://place.map.kakao.com/9842611,생활의달인,,true,false,false
32,score=3(kakao+3); broadcast=2024-07-10,8332e69a-dfef-4ddb-b96d-07655cef7ef5,tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,연제,부산 연제구 반송로 18-6 1층,https://place.map.kakao.com/1368195059,쯔양,쯔양,true,false,false
33,score=3(kakao+3); broadcast=2024-04-26,0b3a8b91-d42b-4dbc-b980-230ee493feb1,ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,사상,부산 사상구 광장로 34,https://kko.to/Eua2eCZtIf,풍자 또간집,풍자,true,false,false
34,score=3(kakao+3); broadcast=2024-04-26,6fa20bbf-ca29-4065-8eca-39d19b904d27,pungja-namgu-hapcheon-gukbap,합천국밥집,남구,부산 남구 용호로 235,https://place.map.kakao.com/1420643780,또간집,풍자,true,false,false
35,score=3(kakao+3); broadcast=2024-04-07,ad2a5732-f633-4793-9f05-459ba9795f87,baekban-seogu-yetnal-guksujip,옛날국수집,기타,부산 서구 까치고개로160번길 54,https://place.map.kakao.com/964978610,식객 허영만의 백반기행,,true,false,false
36,score=3(kakao+3); broadcast=2023-08-14,163516e4-449b-469c-ac55-bf80180f57a9,kimyusun-daegu-bbol-jjim,김유순대구뽈찜전문점,남구,부산 남구 진남로 15,https://place.map.kakao.com/8116757,,푸디랜드 FoodieLand,true,false,false
37,score=3(kakao+3); broadcast=2023-05-22,b159834b-1ebe-467e-aecc-e3f24fc4675b,saengdal-yeongdo-sato-bunsik,사또분식,영도,부산 영도구 절영로35번길 39,https://place.map.kakao.com/9808354,생활의달인,,true,false,false
38,score=3(kakao+3); broadcast=2022-03-25,88dc61af-8218-48e9-a91f-c00e83bee6b8,naeho-naengmyeon,내호냉면,남구,부산광역시 남구 장고개로 11-5,https://map.kakao.com/?map_type=TYPE_MAP&q=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C+%EB%82%A8%EA%B5%AC+%EC%9E%A5%EA%B3%A0%EA%B0%9C%EB%A1%9C+11-5&urlLevel=2&urlX=971941&urlY=457722,맛있는녀석들,,true,false,false
39,score=3(kakao+3); broadcast=2018-08-03,1fc41847-7c8e-4586-bcca-96570e959486,live-today-samjin-eomuk,삼진어묵 본점,영도,부산광역시 영도구 태종로99번길 36,https://place.map.kakao.com/22579540,생방송 투데이,,true,false,false
40,score=3(kakao+3); broadcast=2017-08-09,b2db448e-57c1-455a-ad64-e5949c05df74,saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,사상,부산 사상구 가야대로 290-18,https://place.map.kakao.com/1664107638,2TV 생생정보,,true,false,false
41,score=3(kakao+3); broadcast=없음,87092201-5e92-4086-aaae-dbc21f814a29,tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,기타,부산 강서구 르노삼성대로 602 2층,http://place.map.kakao.com/21843973,,,true,false,false
42,score=3(kakao+3); broadcast=없음,9b6f52ef-9514-4359-be60-b3612aa4201f,tzuyang-yeongdo-dongbang-milmyeon,동방밀면,영도,부산 영도구 꿈나무길 239,http://place.map.kakao.com/8914478,,,true,false,false
43,score=3(kakao+3); broadcast=없음,8ea1a75f-56f9-427c-b93d-56ad7302804e,tzuyang-yeongdo-dongsamdong-buljjampong,동삼동불짬뽕,영도,부산 영도구 동삼남로 21,http://place.map.kakao.com/19041717,,,true,false,false
