slug,name,is_public,area,category,db_place_id,db_address,db_phone,db_lat,db_lng,kakao_place_id,kakao_name,kakao_road_address,kakao_address,kakao_phone,kakao_lat,kakao_lng,address_status,coordinate_status,phone_status,trust_source_count,trust_source_status,recommended_action,priority,notes
baekban-seogu-yetnal-guksujip,옛날국수집,true,기타,분식/길거리,964978610,부산 서구 까치고개로160번길 54,051-241-7454,35.099271,129.016103,964978610,옛날국수집,부산 서구 까치고개로160번길 54,부산 서구 아미동2가 91-19,051-241-7454,35.09927130462,129.016103441313,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
baekban-seomyeon-marathon-jib,마라톤집,true,서면,한식,8962822,부산 부산진구 가야대로784번길 54,051-806-5914,35.1551574,129.0572166,8962822,1959마라톤,부산 부산진구 가야대로784번길 54,부산 부산진구 부전동 519-13,051-806-5914,35.1551247938841,129.057123182796,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=9m
baekban-seomyeon-masan-sikdang,마산식당,true,서면,돼지국밥,8960022,부산 부산진구 자유평화로 19,051-631-6906,35.1413883,129.0599431,8960022,마산식당,부산 부산진구 자유평화로 19,부산 부산진구 범천동 839-53,051-631-6906,35.1415327661409,129.06193292108,EXACT_CURRENT,SAME_PLACE_ADDRESS_VARIANT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=177m
baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,true,영도,돼지국밥,15526776,부산 영도구 남항시장길 350,051-413-8609,35.0874972118328,129.044148012405,15526776,가마솥돼지국밥,부산 영도구 남항시장길 350,부산 영도구 신선동2가 37-3,051-413-8609,35.0874972118328,129.044148012405,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
baekban-yeongdo-jinju-sikdang,진주식당,true,영도,한식,21319289,부산 영도구 대평로 16,051-412-6799,35.0916371,129.0342407,21319289,진주식당,부산 영도구 절영로14번길 2,부산 영도구 봉래동1가 94-3,051-416-5948,35.0932093109834,129.039948711614,ADDRESS_MISMATCH,COORDINATE_MISMATCH,,0,BROADCAST_SOURCE_MISSING,ADDRESS_FIX_REVIEW,P0,dist=536m
baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,true,영도,해산물,273038784,부산 영도구 중리남로 2-35 영도해녀문화전시관 1층,051-419-4505,35.0693326,129.0669502,,,,,,,,PLACE_LOOKUP_FAILED,PLACE_LOOKUP_FAILED,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,Kakao 매칭 실패
baekban-yeonje-godeungeo-datchi,고등어다찌 연산본점,true,연제,회,12743016,부산 연제구 고분로31번길 42,051-853-9374,35.186794,129.0859143,12743016,고등어다찌 연산동본점,부산 연제구 고분로31번길 42,부산 연제구 연산동 615-85,051-853-9374,35.18763694231681,129.08608325364918,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=95m
baekhwa-yanggopchang-1ho,백화양곱창 1호,true,남포동,한식,2061622071,부산 중구 자갈치로23번길 6,051-245-0105,35.0969339010747,129.027002044513,2061622071,백화양곱창 1호,부산 중구 자갈치로23번길 6,부산 중구 남포동6가 32,051-245-0105,35.0969320994681,129.027001999905,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
bapsang-gijang-haebyeon-jipbul-gomjangeo,해변짚불곰장어,true,기장,해산물,10020270,부산 기장군 기장읍 공수2길 11,051-721-4539,35.1840119,129.2105179,10020270,해변짚불곰장어,부산 기장군 기장읍 공수2길 11,부산 기장군 기장읍 시랑리 563-1,051-721-4539,35.1854233977704,129.21159817618,EXACT_CURRENT,SAME_PLACE_ADDRESS_VARIANT,,1,,NO_ACTION,P3,dist=184m
ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,true,사상,돼지국밥,10928210,부산 사상구 광장로 34,051-317-2478,35.1622620564839,128.980079780349,10928210,합천일류돼지국밥 사상점,부산 사상구 광장로 34,부산 사상구 괘법동 565-6,051-317-2478,35.162262056483875,128.98007978034923,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
ddoganjip-pungnyeon-gopchang,풍년곱창,true,남구,곱창,15291956,부산 남구 용소로28번길 22-1,051-644-9302,35.1345,129.1027,15291956,풍년곱창,부산 남구 용소로28번길 22-1,부산 남구 대연동 394-10,051-644-9302,35.13485522624347,129.0993890175745,EXACT_CURRENT,SAME_PLACE_ADDRESS_VARIANT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=297m
hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,true,서면,돼지국밥,2017689767,부산 부산진구 범천동 839-407,,35.1418955972729,129.062005706056,2017689767,한약방돼지국밥 형제식품,부산 부산진구 자유평화로 21-11,부산 부산진구 범천동 839-407,051-646-3102,35.1418955972729,129.062005706056,EXACT_CURRENT,EXACT_CURRENT,PHONE_BACKFILL_READY,0,BROADCAST_SOURCE_MISSING,PHONE_BACKFILL,P2,dist=0m
hibab-cheongsa-hoe-center,청사포 도희네 조개구이,true,해운대,해산물,510744836,부산 해운대구 청사포로 157,051-704-0113,35.1624398226622,129.194225885324,887616579,도희네,부산 해운대구 청사포로 12,부산 해운대구 좌동 1450,051-701-9078,35.166591678157324,129.18319017125606,BUSINESS_REVIEW,COORDINATE_MISMATCH,,0,BROADCAST_SOURCE_MISSING,COORDINATE_FIX_REVIEW,P0,Kakao 검색 id≠db_place_id(이름매칭) / dist=1083m
hibab-haeundae-amsogalbi,해운대 암소갈비집,true,해운대,고기,8149130,부산 해운대구 해운대해변로 333,051-746-0033,35.1631136041575,129.166464700066,8149130,해운대암소갈비집,부산 해운대구 해운대해변로 333,부산 해운대구 중동 1225-1,051-746-0033,35.163113604157466,129.16646470006606,EXACT_CURRENT,EXACT_CURRENT,,2,,NO_ACTION,P3,dist=0m
hoeguksu-halmaejip,회국수할매집,true,서면,한식,11260858,부산 부산진구 서면문화로 5,051-817-9260,35.1582241900753,129.057583103138,11260858,회국수할매집,부산 부산진구 서면문화로 5,부산 부산진구 부전동 486-1,051-817-9260,35.1582241900753,129.057583103138,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
iganae-tteokbokki,이가네떡볶이 본점,true,남포동,분식/길거리,20204736,부산 중구 부평1길 48,051-245-0413,35.1014825667343,129.025952334737,20204736,이가네떡볶이 본점,부산 중구 부평1길 48,부산 중구 부평동2가 16,051-245-0413,35.1014825667343,129.02595233473696,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
jeonhyun-gijang-haenyeo-halmaejib,5번 친구해녀할매집,true,기장,해산물,704870096,부산 기장군 기장읍 기장해안로 668,051-724-3399,35.1996433,129.2240272,704870096,5번친구해녀할매집,부산 기장군 기장읍 기장해안로 668,부산 기장군 기장읍 대변리 245-23,051-724-3399,35.2204424589892,129.233311233486,EXACT_CURRENT,COORDINATE_MISMATCH,,0,BROADCAST_SOURCE_MISSING,COORDINATE_FIX_REVIEW,P0,dist=2451m
jeonhyun-gwangalli-biwa-suljan,비와술잔,true,광안리,일식,1848137369,부산 수영구 황령대로489번길 49-8 1층,,35.140206,129.109262,1848137369,비와술잔,부산 수영구 황령대로489번길 49-8,부산 수영구 남천동 204,051-621-2540,35.14020600272599,129.10926171957024,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,PHONE_BACKFILL_READY,0,BROADCAST_SOURCE_MISSING,PHONE_BACKFILL,P2,dist=0m
jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,true,광안리,회,18833899,부산 수영구 남천1동 192,051-623-6039,35.140323,129.109787,18833899,연합횟집,부산 수영구 황령대로489번길 59,부산 수영구 남천동 193,051-623-6039,35.1403230174367,129.109786937943,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,true,남구,분식/길거리,26436780,부산 남구 문현금융로 4,051-635-8587,35.1430248433111,129.065121445563,26436780,수타혜미칼국수,부산 남구 문현금융로 4,부산 남구 문현동 770-1,051-635-8587,35.1430248433111,129.065121445563,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,true,남포동,고기,8301894,부산 중구 중앙대로41번길 11-1,051-245-1195,35.101051,129.035135,8301894,물레방아즉석구이,부산 중구 중앙대로41번길 11-1,부산 중구 중앙동1가 24-14,051-245-1195,35.1010511492018,129.03513510735,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
jeonhyun-nampo-yeosongje,여송제,true,남포동,한식,10656018,부산 중구 광복로18번길 5,051-246-2111,35.099162,129.027188,10656018,여송제,부산 중구 광복로18번길 5,부산 중구 부평동1가 37-10,051-246-2111,35.09916210802681,129.02718770394407,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
jeonhyun-yeongdo-watda-sikdang,왔다식당,true,영도,고기,9291686,부산 영도구 하나길 811,051-412-2676,35.094025,129.056345,9291686,왔다식당,부산 영도구 하나길 811,부산 영도구 청학동 386-197,051-412-2676,35.094025368019814,129.0563445058958,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
kimyusun-daegu-bbol-jjim,김유순대구뽈찜전문점,true,남구,해산물,8116757,부산 남구 진남로 15,051-627-4319,35.1363540063858,129.091513709565,8116757,김유순대구뽈찜전문,부산 남구 진남로 15,부산 남구 대연동 291-2,051-627-4319,35.1363540063858,129.091513709565,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
live-today-donggu-halme-gimbap,할매김밥,true,기타,분식,16286242,부산 동구 고관로 106 상가아파트 상가안,0507-1349-0547,35.1282569731002,129.04640374595,16286242,할매김밥,부산 동구 고관로 106,부산 동구 수정동 170-1,051-467-0547,35.1282569731002,129.04640374595,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
live-today-samjin-eomuk,삼진어묵 본점,true,영도,해산물,22579540,부산광역시 영도구 태종로99번길 36,051-715-5865,35.093565,129.039649,22579540,삼진어묵 영도본점,부산 영도구 태종로99번길 36,부산 영도구 봉래동2가 39-1,051-715-5865,35.09294874822122,129.0427918566933,EXACT_CURRENT,SAME_PLACE_ADDRESS_VARIANT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=287m
live-today-suyeong-geumsin-jeonseon-sangyusibi,금신전선 상유십이,true,기타,한식,1905565479,부산 수영구 수영로582번길 28,0507-1426-2201,35.1574229558888,129.114560618088,1905565479,금신전선상유십이 금상,부산 수영구 수영로582번길 28,부산 수영구 광안동 144-16,0507-1426-2201,35.1574229558888,129.114560618088,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
matnyuk-sasang-doejigalbi,시골집명품석갈비,true,사상,고기,1045757902,부산 사상구 괘법동 549,051-012-3456,35.1544,128.9921,17710705,시골집명품석갈비,부산 사상구 낙동대로1210번길 82,부산 사상구 괘법동 523-3,051-315-0709,35.167025345189316,128.98114676515732,BUSINESS_REVIEW,COORDINATE_MISMATCH,,0,BROADCAST_SOURCE_MISSING,COORDINATE_FIX_REVIEW,P0,Kakao 검색 id≠db_place_id(이름매칭) / dist=1706m
matnyuk-seomyeon-songjeong-3dae-gukbap,송정3대국밥,true,서면,돼지국밥,10551889,부산 부산진구 서면로68번길 33,0507-1412-5722,35.1555801,129.058548,10551889,송정삼대국밥,부산 부산진구 서면로68번길 33,부산 부산진구 부전동 255-19,051-806-5722,35.15557363642001,129.0584983963701,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=4m
michelin-bukgu-pyeongyangjip,평양집,true,기타,한식,12293207,부산 북구 금곡대로20번길 21,051-331-5455,35.212098,129.005911,12293207,평양집 덕천food,부산 북구 금곡대로20번길 21,부산 북구 덕천동 333-25,051-331-5455,35.2120978207824,129.005911099211,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
michelin-gwangalli-songheonjip,송헌집,true,광안리,고기,1559134124,부산 수영구 민락로19번길 18,,35.156552,129.121438,1559134124,송헌집,부산 수영구 민락로19번길 18,부산 수영구 민락동 171-19,,35.1565520222494,129.121437717475,EXACT_CURRENT,EXACT_CURRENT,PHONE_NOT_AVAILABLE,1,,NO_ACTION,P3,dist=0m
michelin-haeundae-moemiljip,뫼밀집,true,해운대,한식,973360722,부산 해운대구 마린시티3로 23,051-744-9944,35.156647,129.146931,973360722,뫼밀집,부산 해운대구 마린시티3로 23,부산 해운대구 우동 1435,051-744-9944,35.156647053329,129.146930849669,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
michinmatjip-dongnae-seungha-jip,승하집,true,동래,한식,2020452181,부산 동래구 사직북로5번길 31,010-9102-5535,35.19607,129.05914,2020452181,승하집,부산 동래구 사직북로5번길 31,부산 동래구 사직동 89-3,010-9102-5535,35.1960653454399,129.059141057486,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=1m
michinmatjip-jung-seomjingang-jaecheop,섬진강재첩전문점,true,남포동,해산물,10488926,부산 중구 광복로85번길 15-1,051-246-6471,35.09977,129.03475,10488926,섬진강재첩전문점,부산 중구 광복로85번길 15-1,부산 중구 동광동2가 10-4,051-246-6471,35.09976889685181,129.034752338281,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
michinmatjip-sasang-galchi-hoegwan,갈치회관,true,사상,해산물,593120865,부산 사상구 낙동대로 1402,051-301-8292,35.18523,128.97738,593120865,갈치회관,부산 사상구 낙동대로 1402,부산 사상구 삼락동 356-1,051-301-8292,35.1852347394636,128.977382420717,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=1m
michinmatjip-seogu-sinchang-gukbap,신창국밥 본점,true,기타,돼지국밥,7979137,부산 서구 보수대로 53,051-244-1112,35.1009584,129.0225883,7979137,신창국밥 본점,부산 서구 보수대로 53,부산 서구 토성동1가 4-1,051-244-1112,35.1009583984265,129.022588312598,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
mulkkong-sikdang,물꽁식당,true,남포동,해산물,11891969,부산 중구 흑교로59번길 3,051-257-3230,35.1045035036691,129.02437673745,11891969,물꽁식당,부산 중구 흑교로59번길 3,부산 중구 보수동2가 89-6,051-257-3230,35.10450350366911,129.02437673744967,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
naeho-naengmyeon,내호냉면,true,남구,밀면,11023144,부산 남구 우암번영로26번길 17,051-646-6195,35.1264751024665,129.070867880766,11023144,내호냉면,부산 남구 우암번영로26번길 17,부산 남구 우암동 189-671,051-646-6195,35.1264751024665,129.070867880766,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
oneuln-nampo-sammi-jip,삼미집,true,남포동,한식,16214505,부산 중구 광복로35번길 30-1,051-245-7776,35.1019748260644,129.028955935078,16214505,삼미집,부산 중구 광복로35번길 30-1,부산 중구 신창동3가 6-1,051-245-7776,35.10197482606437,129.0289559350778,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
postoffice-bukgu-anakchon,아낙촌,true,기타,한식,1029695066,부산광역시 북구 만덕3로 46,0507-1310-0342,35.211599794611,129.028707268755,1029695066,아낙촌 만덕점,부산 북구 만덕3로 46,부산 북구 만덕동 915-7,051-335-0330,35.211599794610954,129.0287072687547,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-bukgu-babo-eomma-kalguksu,바보엄마칼국수,true,기타,한식,729277084,부산광역시 북구 화명대로12번길 91,051-362-3690,35.2308443415677,129.00897667944,729277084,바보엄마칼국수,부산 북구 화명대로12번길 91,부산 북구 화명동 2299-3,051-362-3690,35.23084434156769,129.0089766794398,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-bukgu-chen-china,첸차이나,true,기타,중식,491752023,부산광역시 북구 효열로219번가길 42,051-343-7778,35.2635263175473,129.017014136899,491752023,첸차이나,부산 북구 효열로219번가길 42,부산 북구 금곡동 629,051-343-7778,35.26352631754734,129.01701413689906,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-bukgu-geumyong-mandu,금용만두,true,기타,분식,8792300,부산광역시 북구 구포만세길 75,051-337-8868,35.2054631655259,128.996662263899,8792300,금용,부산 북구 구포만세길 75,부산 북구 구포동 1060-268,0502-5552-4533,35.205463165525906,128.9966622638993,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-bukgu-yungane-san-ojingeo,윤가네산오징어,true,기타,해산물,15837083,부산광역시 북구 만덕대로16번길 24,010-6787-2642,35.2094096233223,129.007162566425,15837083,윤가네산오징어,부산 북구 만덕대로16번길 24,부산 북구 덕천동 403-13,,35.2094096233223,129.007162566425,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-busanjin-jobang-nakji-gaya,조방낙지 가야점,true,서면,한식,26884360,부산광역시 부산진구 가야대로 597,051-895-0076,35.155129927278,129.037253954665,26884360,조방낙지 가야점,부산 부산진구 가야대로 597,부산 부산진구 가야동 56-2,051-895-0076,35.15512992727796,129.03725395466518,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-busanjin-simcheongi-wang-jokbal,심청이왕족발,true,서면,고기,1953683526,부산광역시 부산진구 가야대로588번길 14,051-896-5357,35.1540369613871,129.035798068665,1953683526,심청이왕족발 가야본점,부산 부산진구 가야대로588번길 14,부산 부산진구 가야동 264-1,051-896-5357,35.1540369613871,129.035798068665,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-busanjin-yeon-dwaeji-gukbap,연돼지국밥,true,서면,돼지국밥,1415088420,부산광역시 부산진구 범일로192번길 33,0507-1301-1376,35.1468292204556,129.061649642976,1415088420,연돼지국밥,부산 부산진구 범일로192번길 33,부산 부산진구 범천동 853-25,010-8378-1190,35.1468292204556,129.061649642976,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-donggu-maparam-haemul,마파람해물찜해물탕,true,기타,해산물,1741111954,부산광역시 동구 범일로90번길 9,051-631-9559,35.1381389482764,129.060610944664,1741111954,마파람 해물찜해물탕 부산범일동점,부산 동구 범일로90번길 9,부산 동구 범일동 830-218,051-631-9559,35.1381389482764,129.06061094466435,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-dongnae-milmyeon,동래밀면,true,동래,밀면,12519573,부산광역시 동래구 명륜로 47,051-552-3092,35.1983246042788,129.084200429359,12519573,동래밀면 본점,부산 동래구 명륜로 47,부산 동래구 수안동 9-33,051-552-3092,35.1983246042788,129.084200429359,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-dongnae-yeongnam-sigyuk,영남식육식당 동래점,true,동래,고기,21965019,부산광역시 동래구 명륜로112번가길 51,0507-1332-2228,35.2057710116254,129.082985393124,21965019,영남식육식당 동래점,부산 동래구 명륜로112번가길 51,부산 동래구 명륜동 570,051-552-2228,35.2057710116254,129.082985393124,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-gangseo-bogone,복오네,true,기타,해산물,1387540824,부산광역시 강서구 대저중앙로 61-7,051-972-5245,35.2181573298303,128.954131676576,1387540824,복오네,부산 강서구 대저중앙로 61-7,부산 강서구 대저1동 1139,051-972-5245,35.2181573298303,128.954131676576,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-gangseo-gogwigwan,고귀관,true,기타,고기,802014363,부산광역시 강서구 대저중앙로 399,0507-1311-9299,35.2206256670828,128.990677523311,802014363,고귀관,부산 강서구 대저중앙로 399,부산 강서구 대저1동 229-46,051-973-9294,35.2206256670828,128.990677523311,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-gangseo-gonghang-jokbal,공항족발,true,기타,고기,1688432879,"부산광역시 강서구 공항앞길 12, 1층",0507-1402-1781,35.1802620269846,128.954183242134,1688432879,공항족발,부산 강서구 공항앞길 12,부산 강서구 대저2동 1837-4,,35.1802620269846,128.954183242134,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-gangseo-juhwa-hoetjip,주화횟집,true,기타,회,1791507878,부산광역시 강서구 화전산단4로30번길 6,051-941-9288,35.1107684971617,128.881269365007,1791507878,주화횟집,부산 강서구 화전산단4로30번길 6,부산 강서구 화전동 561-5,051-941-9288,35.1107684971617,128.881269365007,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-gangseo-ogi-gamjatang,옥이감자탕,true,기타,한식,440993096,부산광역시 강서구 화전산단4로7번길 14,051-973-8988,35.1115494645411,128.879260578865,440993096,옥이감자탕,부산 강서구 화전산단4로7번길 14,부산 강서구 녹산동 1326-1,051-973-8988,35.1115494645411,128.879260578865,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-geumjeong-bukmun-guksu,북문국수,true,기타,한식,15713974,부산광역시 금정구 북문로 53,051-517-6626,35.2534917867087,129.053709103342,15713974,북문국수,부산 금정구 북문로 53,부산 금정구 금성동 352-2,051-517-6626,35.2534917867087,129.053709103342,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
postoffice-geumjeong-daebak-son-kalguksu,대박손칼국수,true,기타,한식,24574146,"부산광역시 금정구 수림로20번길 21, 천호빌딩 1층",051-515-5295,35.2406506717372,129.090208503656,24574146,대박손칼국수,부산 금정구 수림로20번길 21,부산 금정구 부곡동 65-108,051-515-5295,35.2406506717372,129.090208503656,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
